Name,ISIN,IQ_COMPANY_ADDRESS,IQ_PRIMARY_INDUSTRY,IQ_EXCHANGE,IQ_CITY,IQ_COUNTRY_NAME,IQ_EMPLOYEES,IQ_CEO_NAME,IQ_CFO_NAME,IQ_SP_LC_LT,Supplier1,Supplier2,Supplier3,Supplier4,Supplier5,Supplier6,Supplier7,Supplier8,Supplier9,Supplier10,customer1,customer2,customer3,customer4,customer5,customer6,customer7,customer8,customer9,customer10,bm1,bm2,bm3,bm4,bm5,bm6,bm7,bm8,bm9,bm10
Vivendi SE,FR0000127771,"42 avenue de Friedland, Cedex 08, Paris, Ile-de-France, 75380, France",Broadcasting,ENXTPA,Paris,France,35000,"de Puyfontaine, Arnaud","Laroze, Francois",NR,Mediobanca Banca di Credito Finanziario S.p.A.,Neurones S.A.,"Rosetta Marketing Group, LLC",Rothschild & Co SCA,Silly Monks Entertainment Limited,Telecom Italia S.p.A.,Telecom Italia S.p.A.,Universal Music Group Treasury Sas,,,Altice Europe N.V,Telecom Italia S.p.A.,TIM S.A.,Universal International Music B.V.,Universal Music Group N.V.,"Universal Music Group, Inc.",,,,,"Bollore, Yannick ","Benacin, Philippe ","Bollore, Vincent ","Lawson-Hall, Catherine F.L.","Stanton, Katie J.","Cardoso, Paulo ","Driot-Argentin, Véronique ","Bihan, Sandrine Le","Reiser, Michèle ","Bollore, Cyrille M.C."
Entain PLC,IM00B5VQMV65,"One New Change, 3rd Floor, London, Greater London, EC4M 9AF, United Kingdom",Casinos and Gaming,LSE,London,United Kingdom,24063,"Nygaard-Andersen, Jette","Wood, Rob",BB,Bragg Gaming Group Inc.,Europort Five Limited,Evolution AB (publ),Fantasma Games AB (publ),"FourCubed Acquisition Company, LLC",Gambling.com Group Limited,Gaming Realms plc,Genius Sports Limited,"Inspired Entertainment, Inc.","Kroll, LLC","BetMGM, LLC",TAB New Zealand,,,,,,,,,,"Nygaard-Andersen, Jette ","Wood, Rob M.","McDowell, Virginia M.","Bouchut, Pierre Bruno Charles","David, Stella Julie","Satz, David M.",,,
AddLife AB,SE0014401378,"Brunkebergstorg 5, Box 3145, Stockholm, Stockholm County, 103 62, Sweden",Life Sciences Tools and Services,OM,Stockholm,Sweden,2296,"Dalborg, Fredrik","Rubenhag, Christina",,"MGI Tech Co., Ltd.",,,,,,,,,,Rikshospitalet University Hospital,,,,,,,,,,"Sjo, Johan ","Roos, Håkan ","Nilsagard, Eva ","Hedelius, Stefan ","Norinder, Birgit Stattin","Elmstedt, Eva ",,,,
International Consolidated Airlines Group SA,ES0177542018,"Waterside (HAA2), PO Box 365, Harmondsworth, Greater London, UB7 0GB, United Kingdom",Passenger Airlines,LSE,Harmondsworth,United Kingdom,68477,"Gallego Martin, Luis","Cadbury, Nicholas",BBB-,Airbus SE,Aurrigo International plc,Computershare Investor Services PLC,Dunwoody Airline Services (Holdings) Limited,John Menzies plc,"Multiservicios Aeroportuarios, S.A.",Phillips 66 Limited,Qatar Airways Limited,Serpista SA,The Boeing Company,Dunwoody Airline Services (Holdings) Limited,Empresa Hispano Cubana De Mantenimiento De Aeronaves Ibeca SA,"LanzaJet, Inc.","Multiservicios Aeroportuarios, S.A.",Qatar Airways Limited,Serpista SA,"Travelport, LP",,,,,"Gallego Martin, Luis ","Embleton, Lynne ","Doyle, Sean Liam","Sansavini, Marco ","Daniels, Adam ","Candela, Fernando ","Ewing, Margaret ","McSharry, Heather Ann","de Torres, Emilio Saracho Rodríguez "
Addtech AB,SE0014781795,"Birger Jarlsgatan 43, Box 5112, Stockholm, Stockholm County, 102 43, Sweden",Trading Companies and Distributors,OM,Stockholm,Sweden,4108,"Stenberg, Niklas","Enarson, Malin",,Euroclear Sweden AB,,,,,,,,,,,,,,,,,,,,"Eriksson, Kenth ","Stenberg, Niklas ","Nordesjo, Malin ","Mattsson, Ulf ","Hedelius, Henrik ","Schaeferdiek, Annikki ",,,,
ArcelorMittal SA,LU1598757687,"24-26, Boulevard d’Avranches, Luxembourg City  1160, Luxembourg",Steel,ENXTAM,Luxembourg City,Luxembourg,154352,"Mittal, Aditya","Christino, Genuino Jose",BBB-,Alkat Sa,"Alpha Metallurgical Resources, Inc.",AM/NS Calvert LLC,AMNS India Limited,Anglo American Metallurgical Coal Pty Ltd.,Anglo American plc,Anglo Coal Limited,Aperam S.A.,ArcelorMittal Gonvarri Brasil Produtos Siderúrgicos S.A.,"ArcelorMittal Gonvarri SSC Slovakia, s.r.o.",AB Snaige,Alkat Sa,AM/NS Calvert LLC,Aperam S.A.,ArcelorMittal CLN Distribuzione Italia srl,ArcelorMittal Gonvarri Brasil Produtos Siderúrgicos S.A.,"ArcelorMittal Gonvarri SSC Slovakia, s.r.o.",ArcelorMittal RZK Celik Servis Merkezi Sanayi ve Ticaret Anonim Sirketi,ArcelorMittal South Africa Limited,ArcelorMittal SSC AB,,"Mittal, Aditya ","Lafont, Bruno ","Ovelmen, Karyn F.","Lins, Clarissa de Araujo","Mittal Bhatia, Vanisha ","Leon Wurth, Michel Alphonse","Burt, Tye W.","de Gucht, Karel ","Schneider, Etienne "
Zur Rose Group AG,CH0042615283,"Walzmühlestrasse 49, Frauenfeld, Thurgau, 8500, Switzerland",Drug Retail,SWX,Frauenfeld,Switzerland,2283,"Hess, Walter","Ziwica, Marcel",,,,,,,,,,,,Datamediq Gmbh,Polyrose Ag,WELL Gesundheit AG,,,,,,,,"Oberhansli, Walter ","Feuerstein, Stefan ","Mielsch, Christian ","Seubert, Florian ","Belliger, Andrea ","Hu, Rongrong ",,,,
Anglo American PLC,GB00B1XZS820,"17 Charterhouse Street, London, Greater London, EC1N 6RA, United Kingdom",Diversified Metals and Mining,LSE,London,United Kingdom,105000,"Wanblad, Duncan","Pearce, Stephen",BBB+,Boom Logistics Limited,Computershare Investor Services 2004 (proprietary) Limited,COPEC S.A.,Corinth Pipeworks S.A.,Cosol Australia Pty Ltd,DRA Global Limited,Epiroc AB (publ),Equiniti Limited,Ferrocarril del Pacífico S.A.,Foraco International SA,Anglo American Platinum Limited,Anglo American Platinum Limited,ArcelorMittal S.A.,Ternium S.A.,Thungela Resources Limited,,,,,,,"Wanblad, Duncan Graham","Pearce, Stephen Thomas","Ashby, Ian Robert","Maxson, Hilary Barbara","Tyler, Ian Paul","Bastos, Marcelo ","Nyasulu, Thembalihle Hixonia","Nyembezi, Nonkululeko Merina Cheryl","Anderson, Magali "
Valeo SE,FR0013176526,"100, rue de Courcelles, Paris, Ile-de-France, 75017, France",Automotive Parts and Equipment,ENXTPA,Paris,France,109900,"Perillat-Piratoine, Christophe","Charvier, Robert",BB+,Actron Technology Corporation,C2A Security Ltd.,"Chiyoda Integre Co.,Ltd.",Constellium SE,"CWB Automotive Electronics Co., Ltd.","Dalian Demaishi Precision Technology Co., Ltd.",EuroGroup Laminations S.p.A.,Igarashi Motors India Limited,IT Link SA,"KODACO Co., Ltd",ABES Technoseal,Auto Partner SA,Chrysler Motors LLC,FCA US LLC,Hudaco Trading (Pty) Ltd.,"Ichikoh Industries, Ltd.","Nissan Motor Co., Ltd.",PL Group S.A.,Tye Soon Limited,,,"Perillat-Piratoine, Christophe ","Moulonguet, Thierry B.","Weill, Veronique ","Steinhorst, Ulrike ","Jego-Laveissiere, Marie-Noelle ","Bezard, Bruno ","Sayer, Patrick Georges","Frachet, Stéphanie ","Avrane-Chopard, Julie "
Faurecia SE,FR0000121147,"23-27, avenue des Champs Pierreux, Nanterre, Ile-de-France, 92000, France",Automotive Parts and Equipment,ENXTPA,Nanterre,France,155840,"Koller, Patrick","Durand, Olivier",BB,Bulten AB (publ),CACEIS Corporate Trust,CIE Automotive India Limited,Dassault Systèmes SE,"EDP - Energias de Portugal, S.A.",Engie SA,ESI Group SA,European Investment Bank,EVA Precision Industrial Holdings Limited,"Grupo Antolin-Irausa, S.A.U.",Bayerische Motoren Werke Aktiengesellschaft,California Energy Commission,Capita Customer Management Limited,ChangAn Inc.,CT Automotive Group plc,Dr. Ing. h.c. F. Porsche AG,Ford Motor Company,General Motors Company,HyVia SAS,Renault-Nissan B.V.,,"Koller, Patrick ","Delabrière, Yann ","Desforges, Odile ","Mercier, Denis ","Levy, Jean-Bernard ","Peugeot, Robert ","Herscher, Penelope A.","Landon, Valerie ","Bernardino, Daniel "
