name,industry,exchange,home_city,home_country,employees,ceo,cfo,rating,supplier1,supplier2,supplier3,supplier4,supplier5,supplier6,supplier7,supplier8,supplier9,supplier10,customer1,customer2,customer3,customer4,customer5,customer6,customer7,customer8,customer9,customer10,bm1,bm2,bm3,bm4,bm5,bm6,bm7,bm8,bm9,bm10
vivendi se,broadcasting,enxtpa,paris,france,35000,de puyfontaine arnaud,laroze francois,,mediobanca banca di credito finanziario s.p.a.,neurones s.a.,rosetta marketing group llc,rothschild & co sca,silly monks entertainment limited,telecom italia s.p.a.,telecom italia s.p.a.,universal music group treasury sas,,,altice europe n.v,telecom italia s.p.a.,tim s.a.,universal international music b.v.,universal music group n.v.,universal music group inc.,,,,,bollore yannick ,benacin philippe ,bollore vincent ,lawson-hall catherine f.l.,stanton katie j.,cardoso paulo ,driot-argentin véronique ,bihan sandrine le,reiser michèle ,bollore cyrille m.c.
entain plc,casinos and gaming,lse,london,united kingdom,24063,nygaard-andersen jette,wood rob,45.0,bragg gaming group inc.,europort five limited,evolution ab (publ),fantasma games ab (publ),fourcubed acquisition company llc,gambling.com group limited,gaming realms plc,genius sports limited,inspired entertainment inc.,kroll llc,betmgm llc,tab new zealand,,,,,,,,,,nygaard-andersen jette ,wood rob m.,mcdowell virginia m.,bouchut pierre bruno charles,david stella julie,satz david m.,,,
addlife ab,life sciences tools and services,om,stockholm,sweden,2296,dalborg fredrik,rubenhag christina,,mgi tech co. ltd.,,,,,,,,,,rikshospitalet university hospital,,,,,,,,,,sjo johan ,roos håkan ,nilsagard eva ,hedelius stefan ,norinder birgit stattin,elmstedt eva ,,,,
international consolidated airlines group sa,passenger airlines,lse,harmondsworth,united kingdom,68477,gallego martin luis,cadbury nicholas,55.0,airbus se,aurrigo international plc,computershare investor services plc,dunwoody airline services (holdings) limited,john menzies plc,multiservicios aeroportuarios s.a.,phillips 66 limited,qatar airways limited,serpista sa,the boeing company,dunwoody airline services (holdings) limited,empresa hispano cubana de mantenimiento de aeronaves ibeca sa,lanzajet inc.,multiservicios aeroportuarios s.a.,qatar airways limited,serpista sa,travelport lp,,,,,gallego martin luis ,embleton lynne ,doyle sean liam,sansavini marco ,daniels adam ,candela fernando ,ewing margaret ,mcsharry heather ann,de torres emilio saracho rodríguez 
addtech ab,trading companies and distributors,om,stockholm,sweden,4108,stenberg niklas,enarson malin,,euroclear sweden ab,,,,,,,,,,,,,,,,,,,,eriksson kenth ,stenberg niklas ,nordesjo malin ,mattsson ulf ,hedelius henrik ,schaeferdiek annikki ,,,,
arcelormittal sa,steel,enxtam,luxembourg city,luxembourg,154352,mittal aditya,christino genuino jose,55.0,alkat sa,alpha metallurgical resources inc.,am/ns calvert llc,amns india limited,anglo american metallurgical coal pty ltd.,anglo american plc,anglo coal limited,aperam s.a.,arcelormittal gonvarri brasil produtos siderúrgicos s.a.,arcelormittal gonvarri ssc slovakia s.r.o.,ab snaige,alkat sa,am/ns calvert llc,aperam s.a.,arcelormittal cln distribuzione italia srl,arcelormittal gonvarri brasil produtos siderúrgicos s.a.,arcelormittal gonvarri ssc slovakia s.r.o.,arcelormittal rzk celik servis merkezi sanayi ve ticaret anonim sirketi,arcelormittal south africa limited,arcelormittal ssc ab,,mittal aditya ,lafont bruno ,ovelmen karyn f.,lins clarissa de araujo,mittal bhatia vanisha ,leon wurth michel alphonse,burt tye w.,de gucht karel ,schneider etienne 
zur rose group ag,drug retail,swx,frauenfeld,switzerland,2283,hess walter,ziwica marcel,,,,,,,,,,,,datamediq gmbh,polyrose ag,well gesundheit ag,,,,,,,,oberhansli walter ,feuerstein stefan ,mielsch christian ,seubert florian ,belliger andrea ,hu rongrong ,,,,
anglo american plc,diversified metals and mining,lse,london,united kingdom,105000,wanblad duncan,pearce stephen,65.0,boom logistics limited,computershare investor services 2004 (proprietary) limited,copec s.a.,corinth pipeworks s.a.,cosol australia pty ltd,dra global limited,epiroc ab (publ),equiniti limited,ferrocarril del pacífico s.a.,foraco international sa,anglo american platinum limited,anglo american platinum limited,arcelormittal s.a.,ternium s.a.,thungela resources limited,,,,,,,wanblad duncan graham,pearce stephen thomas,ashby ian robert,maxson hilary barbara,tyler ian paul,bastos marcelo ,nyasulu thembalihle hixonia,nyembezi nonkululeko merina cheryl,anderson magali 
valeo se,automotive parts and equipment,enxtpa,paris,france,109900,perillat-piratoine christophe,charvier robert,50.0,actron technology corporation,c2a security ltd.,chiyoda integre co.ltd.,constellium se,cwb automotive electronics co. ltd.,dalian demaishi precision technology co. ltd.,eurogroup laminations s.p.a.,igarashi motors india limited,it link sa,kodaco co. ltd,abes technoseal,auto partner sa,chrysler motors llc,fca us llc,hudaco trading (pty) ltd.,ichikoh industries ltd.,nissan motor co. ltd.,pl group s.a.,tye soon limited,,,perillat-piratoine christophe ,moulonguet thierry b.,weill veronique ,steinhorst ulrike ,jego-laveissiere marie-noelle ,bezard bruno ,sayer patrick georges,frachet stéphanie ,avrane-chopard julie 
faurecia se,automotive parts and equipment,enxtpa,nanterre,france,155840,koller patrick,durand olivier,45.0,bulten ab (publ),caceis corporate trust,cie automotive india limited,dassault systèmes se,edp - energias de portugal s.a.,engie sa,esi group sa,european investment bank,eva precision industrial holdings limited,grupo antolin-irausa s.a.u.,bayerische motoren werke aktiengesellschaft,california energy commission,capita customer management limited,changan inc.,ct automotive group plc,dr. ing. h.c. f. porsche ag,ford motor company,general motors company,hyvia sas,renault-nissan b.v.,,koller patrick ,delabrière yann ,desforges odile ,mercier denis ,levy jean-bernard ,peugeot robert ,herscher penelope a.,landon valerie ,bernardino daniel 
technipfmc plc,oil and gas equipment and services,nyse,newcastle upon tyne,united kingdom,20301,pferdehirt douglas,melin alf,50.0,ani integrated services limited,aprogen medicines inc.,bank of america national association,bomesc offshore engineering company limited,citibank n.a.,cords cable industries limited,corinth pipeworks s.a.,dnb bank asa - new york branch,dnb capital llc,dof asa,abu dhabi national oil company,aker bp asa,dofcon navegacao ltda,energean plc,esso exploration and production guyana ltd.,harvest technology group limited,indian oil corporation limited,infraestructura energética nova s. a. p. i. de c. v.,ithaca energy (uk) limited,karoon energy ltd,,o'leary john c. g.,priestly kay grace,farley claire scobee,de carvalho filho eleazar ,yearwood john anthony,oevrum margareth ,zurquiyah-rousset sophie ,gwin robert g.,
